status,p1_score,p2_score,num_moves
1,28,20,27
1,34,14,16
1,37,11,25
1,38,10,26
1,38,10,38
1,38,10,30
1,38,10,24
1,42,6,12
1,36,12,42
1,34,14,36
1,36,12,31
1,41,7,24
1,42,6,17
1,36,12,37
1,32,16,14
1,31,17,20
1,35,13,34
1,39,9,26
1,36,12,32
1,35,13,32
1,37,11,34
1,38,10,28
1,38,10,26
1,39,9,28
1,30,18,36
1,37,11,24
1,40,8,26
1,29,19,27
1,36,12,32
1,39,9,24
1,37,11,34
1,33,15,30
1,39,9,18
1,31,17,36
1,36,12,32
1,41,7,14
1,32,16,16
1,42,6,17
1,43,5,13
1,33,15,30
1,41,7,16
1,38,10,30
1,41,7,22
1,41,7,20
1,34,14,12
1,29,19,35
1,29,19,22
1,36,12,31
1,27,21,35
1,42,6,14
1,38,10,28
1,31,17,22
1,38,10,26
1,38,10,24
1,31,17,16
1,40,8,25
1,37,11,28
0,24,24,21
1,38,10,35
1,41,7,16
1,37,11,26
1,31,17,28
1,38,10,30
1,40,8,24
1,36,12,28
1,30,18,16
1,39,9,26
1,32,16,28
1,39,9,30
1,33,15,14
1,36,12,34
1,42,6,16
1,36,12,24
1,33,15,36
1,37,11,26
1,39,9,24
1,39,9,20
1,38,10,30
1,39,9,31
1,35,13,35
1,35,13,30
1,42,6,14
1,31,17,23
1,43,5,13
1,39,9,24
1,36,12,26
1,37,11,29
1,36,12,32
1,35,13,32
1,37,11,26
1,39,9,30
1,38,10,26
1,38,10,34
1,38,10,22
1,39,9,28
1,42,6,21
1,39,9,18
1,37,11,22
1,36,12,28
1,39,9,26
