status,p1_score,p2_score,num_moves
1,38,10,24
1,41,7,18
1,35,13,27
1,36,12,28
1,34,14,32
1,41,7,16
1,34,14,35
1,39,9,22
1,27,21,25
1,29,19,24
1,33,15,25
1,32,16,27
1,41,7,22
1,42,6,14
1,38,10,30
1,34,14,16
1,28,20,27
1,36,12,30
1,33,15,16
1,42,6,20
1,41,7,16
1,27,21,29
1,37,11,22
1,34,14,12
1,32,16,16
1,35,13,24
1,36,12,28
1,39,9,24
2,17,31,21
1,33,15,41
1,38,10,24
1,31,17,14
1,32,16,16
1,37,11,28
1,33,15,37
1,34,14,44
1,36,12,26
1,32,16,34
1,41,7,20
1,40,8,20
1,37,11,25
1,38,10,24
1,41,7,28
1,33,15,28
1,38,10,28
1,42,6,14
1,37,11,26
1,41,7,18
1,29,19,31
1,37,11,24
1,36,12,27
1,32,16,41
1,38,10,24
1,41,7,25
1,40,8,26
1,35,13,28
1,36,12,29
1,35,13,34
1,38,10,26
1,39,9,22
1,35,13,30
1,32,16,38
1,39,9,22
1,33,15,22
1,39,9,24
1,33,15,48
1,41,7,20
1,37,11,38
1,34,14,12
1,35,13,28
1,42,6,16
1,37,11,28
1,41,7,16
1,34,14,34
1,38,10,30
1,32,16,44
1,40,8,22
1,42,6,12
1,39,9,22
1,40,8,17
1,40,8,18
1,32,16,29
1,36,12,32
1,36,12,34
1,36,12,42
1,38,10,24
1,38,10,24
1,31,17,31
1,31,17,18
1,41,7,26
1,38,10,30
1,42,6,16
1,36,12,26
1,33,15,14
1,37,11,24
1,39,9,22
1,37,11,26
1,42,6,14
1,33,15,36
1,36,12,32
