status,p1_score,p2_score,num_moves
1,42,6,16
1,32,16,21
1,36,12,30
1,37,11,30
2,22,26,21
1,30,18,27
2,21,27,19
1,35,13,38
1,25,23,29
1,33,15,34
1,37,11,28
1,40,8,24
1,36,12,30
1,41,7,26
1,39,9,26
1,28,20,31
1,41,7,18
1,37,11,24
1,33,15,34
1,36,12,24
1,34,14,38
1,35,13,41
1,39,9,24
1,37,11,24
1,39,9,30
1,29,19,27
1,32,16,27
1,41,7,26
1,39,9,28
1,35,13,38
1,32,16,29
1,39,9,25
1,36,12,30
1,29,19,33
1,39,9,26
1,35,13,26
1,37,11,26
1,37,11,33
1,40,8,22
1,38,10,29
1,30,18,27
1,36,12,24
1,34,14,18
1,36,12,28
1,32,16,27
1,40,8,30
1,37,11,30
1,40,8,25
1,41,7,24
1,34,14,32
1,38,10,34
2,20,28,17
1,37,11,24
1,30,18,33
1,35,13,26
1,39,9,22
1,39,9,26
1,27,21,29
1,40,8,27
1,36,12,28
1,37,11,30
1,37,11,27
1,39,9,29
1,38,10,20
1,36,12,34
1,32,16,38
1,28,20,20
1,41,7,22
1,29,19,33
1,37,11,29
1,36,12,37
1,37,11,26
1,38,10,20
1,25,23,23
1,31,17,23
1,30,18,39
1,36,12,24
1,40,8,20
1,40,8,24
1,40,8,24
1,34,14,34
1,40,8,24
1,32,16,27
1,41,7,22
2,15,33,19
1,27,21,35
1,38,10,28
1,35,13,40
1,36,12,38
1,34,14,37
1,40,8,18
1,37,11,31
1,27,21,19
1,40,8,22
1,38,10,26
1,35,13,30
1,38,10,28
1,37,11,28
1,33,15,32
1,39,9,20
